Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,,RADx-rad Minimum CDE
cohort_id,Clinical,text,Identifier for groups of patients,,,,,,,,RADx-rad DCC
date_enrolled,Clinical,date,Date when patient was enrolled in the  study and the samples were collected,,,,,,,,RADx-rad DCC
timepoint,Clinical,integer,Which timepoint does this clinical sample pertain to?,Each participant is followed for up to 12 timepoints with one week in between each timepoint. Each timepoint corresponds to a specific smell card. There are 6 unique smell cards labeled as A-F. Each participant competes A-F in order and then repeats the cycle A-F so that each card is tested twice for a complete follow up.,,,1,12,,,RADx-rad DCC
symptom_onset_days,Clinical,integer,Number of days since the onset of symptoms when the patient's sample was collected,,,,,,,,RADx-rad DCC
days_since_first_vaccine,Clinical,integer,Number of days since the first COVID vaccination when the patient's sample was collected,,,,,,,,RADx-rad DCC
days_since_second_vaccine,Clinical,integer,Number of days since the second COVID vaccination when the patient's sample was collected,,,,,,,,RADx-rad DCC
days_since_patient_covid_positive,Clinical,integer,Number of days since patient tested positive for COVID when the patient's sample was collected,,,,,,,,RADx-rad DCC
covid_vaccine_type,Vaccine Acceptance,category,Covid vaccine type,Pfizer-BioNTech | Moderna | Novavax | J&J/Jansen | Pfizer-BioNTech Bivalent| Moderna Bivalent,FDA approved vaccines,,,,,,RADx-rad DCC|https://www.cdc.gov/coronavirus/2019-ncov/vaccines/different-vaccines/overview-COVID-19-vaccines.html?s_cid=11758:covid%20vaccine%20brands:sem.ga:p:RG:GM:gen:PTN:FY22
covid_vaccine,Vaccine Acceptance,radio,Have you received a COVID-19 vaccine?,"1, Yes | 0, No | 98,  not sure/prefer not to answer",,,,,,,RADx-rad DCC
covid_vaccine_doses,Vaccine Acceptance,integer,How many COVID-19 vaccine doses have you received?,,"use 0 if covid_vaccine == 0, leave blank if covid_vaccine == 98",,,,,,RADx-rad DCC
covid_test_target_disease_status,Covid Testing,radio,Participant Testing Disease Status,"1, Asymptomatic | 2, Pre-symptomatic illness | 3, Mild/Moderate outpatient illness | 4, Acute illness | 5, Severe/Critical inpatient illness| 6, Exposed | 9, Convalescent illiness",,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_type,Covid Testing,radio,Test Method Target,"1, Antibody | 2, Antigen | 3, Nucleic acid/PCR | 4, Nucleic acid/Isothermal | 5, Molecular/host response | 6, Biochemical marker (eg, pH) | 90, Other, Specify",,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_type_other,Covid Testing,text,Other method target,,,,,,"[covid_test_type] = ""90""",,RADx-UP|https://radx-up.org/research/cdes/
covid_test_name,Covid Testing,text,Test manufacturer (or LDT) and test name,,,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_specimen_type,Covid Testing,radio,Specimen Type,"1, Anterior nasal swab | 2, Mid-turbinate nasal swab | 3, Nasopharyngeal swab | 4, Oropharyngeal swab | 5, Nasal lavage | 6, Saliva | 7, Sputum | 8, Whole blood | 90, Other, Specify",,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_specimen_type_other,Covid Testing,text,Other specimen type,,,,,,"[covid_test_specimen_type] = ""90""",,RADx-UP|https://radx-up.org/research/cdes/
covid_test_specimen_collector,Covid Testing,radio,Specimen Collector,"1, Self-collect | 2, Health Care Provider collected | 90, Other, Specify",,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_specimen_collector_other,Covid Testing,text,Other specimen collector,,,,,,"[covid_test_specimen_collector] = ""90""",,RADx-UP|https://radx-up.org/research/cdes/
covid_test_ct_value,Covid Testing,float,PCR cycle threshold,,,,,,,,RADx-rad DCC
covid_test_result_raw,Covid Testing,text,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_result,Covid Testing,radio,Test result,"1, Positive | 2, Negative | 3, Failed | 4, Lost | 90, Other",,,,,,,RADx-UP|https://radx-up.org/research/cdes/
covid_test_result_other,Covid Testing,text,Other test result,,,,,,"[covid_test_result] = ""90""",,RADx-UP|https://radx-up.org/research/cdes/
covid_test_result_other_unit,Covid Testing,text,Unit of other test result if applicable,,,,,,,,RADx-rad DCC
covid_diagnosis,Covid Testing,radio,Have you ever been diagnosed with COVID-19?,"1, Yes | 0, No | 98,  not sure/prefer not to answer",,,,,,,RADx-rad DCC
nih_tobacco,Medical History,category,Tobacco Use,"0, No tobacco use| 1, Current Tobacco user| 2, Former Tobacco User| 98, Don't Know | 99, Prefer not to answer",,,,,,,RADx-rad Global Codebook|https://www.niehs.nih.gov/research/programs/disaster/database/radx_global_codebook_orientation_508.xlsx
gender_identity,Medical History,category,"An individual's sense of being a man, woman, boy, girl, genderqueer, nonbinary, etc.","0, Man | 1, Woman | 2, Non-binary | 3, Transgender Man/Female-to-male (FTM) | 4, Transgender woman/Male-to-female (MTF) | 5, Gender non-binary/Genderqueer/Gender nonconforming | 6, Agender | 7, Bigender | 96, None of these describe me | 99, Prefer not to answer",,,,,,,RADx-rad DCC
