Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
sample_group,Sample,text,Unique identifier for a grouping of samples or runs,,,,,,,,RADx-rad DCC
protocol_id,Technology Metadata,text,Unique name or identifier for biosensor protocol,,example: ddPCR_SARS-CoV-2,,,,,,RADx-rad DCC
technology_platform,Technology Metadata,text,Abbreviation or short label for technology,,example: ddPCR,,,,,,RADx-rad DCC
sample_size,Analytical Performance,integer,Number of samples in a sample_group used to calculate metrics,,,,,,,,RADx-rad DCC
limit_of_blank,Analytical Performance,float,Limit of Blank (LOB).  The highest apparent analyte concentration expected to be found when a replicate of a sample containing no analyte are tested.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,,,,,RADx-rad DCC|https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583
limit_of_blank_unit,Analytical Performance,text,Concentration unit for limit_of_blank,,,,,,,,RADx-rad DCC 
limit_of_detection,Analytical Performance,float,Limit of Detection (LOD). The minimum amount or concentration of analyte that can be reliably distinguished from zero.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,,,,,RADx-rad DCC|https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583
limit_of_detection_unit,Analytical Performance,text,Concentration unit for limit_of_detection,,,,,,,,RADx-rad DCC 
limit_of_detection_reference_gene,Analytical Performance,text,Name of the gene used to define the concentration of a viral sample,,Example: ORF1a,,,,,,RADx-rad DCC
limit_of_detection_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of detection in standard deviations.,,Example: 3,,,,,,RADx-rad DCC
limit_of_detection_detail,Analytical Performance,text,Description of how limit of detection was determined.,,"Example: A dilution series of heat inactivated SARS-CoV-2 virus stock (USA-WA1/2020) was prepared in natural clinical matrix (pooled nasopharyngeal swab samples eluted in VTM). Five (5) replicates were tested per dilution. The testing was performed as per the recommended instructions for use, with the virus in clinical matrix applied directly onto the Swab until the saturation of the flocked tip. The estimated LoD concentration for verification was selected as the concentration in between the dilution factor that returned 5/5 positive test outcomes (100%) and the next dilution factor that returned 0/5 positive (0%) based on the qualitative result. Source: https://www.fda.gov/media/144592/download.",,,,,,RADx-rad DCC
limit_of_detection_ci_percent,Analytical Performance,float,Percent used to define two-sided confidence interval for limit_of_detection.,,Example: 95,,,,,,RADx-rad DCC
limit_of_detection_ci_min,Analytical Performance,float,Lower bound of confidence interval for limit_of_detection.,,,,,,,,RADx-rad DCC
limit_of_detection_ci_max,Analytical Performance,float,Upper bound of confidence interval for limit_of_detection.,,,,,,,,RADx-rad DCC
limit_of_quantitation,Analytical Performance,float,Limit of Quantiation (LOQ). The minimum amount or concentration of analyte in the test sample that can be quantified with acceptable precision. ,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,,,,,RADx-rad DCC
limit_of_quantitation_unit,Analytical Performance,text,Concentration unit for limit_of_quantitation,,,,,,,,RADx-rad DCC 
limit_of_quantitation_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of quantification in standard deviations.,,Example: 5,,,,,,RADx-rad DCC
limit_of_quantitation_detail,Analytical Performance,text,Description of how limit of quantition was determined.,,"
COVID-19 Home Test was tested with up to a concentration
of 106.43 TCID 50 /mL of heat inactivated SARS-CoV-2 virus
(USA-WA1/2020 Isolate). Source: https://www.fda.gov/media/144592/download.",,,,,,RADx-rad DCC
dynamic_range_min,Analytical Performance,float,Dynamic range min is the  lowest concentration of an analyte that can be reliably detected by the assay.,,,,,,,,RADx-rad DCC
dynamic_range_min_unit,Analytical Performance,text,Unit of dynamic_range_min,,,,,,,,RADx-rad DCC
dynamic_range_max,Analytical Performance,float,Dynamic range ax is the heighest concentration of an analyte that can be reliably detected by the assay.,,,,,,,,RADx-rad DCC
dynamic_range_max_unit,Analytical Performance,text,Unit of dynamic_range_max,,,,,,,,RADx-rad DCC
high_dose_hook_effect,Analytical Performance,text,Description of high dose hook effect.,,Example: No high dose hook effect was observed when the Ellume COVID-19 Home Test was tested with up to a concentration of 106.43 TCID 50 /mL of heat inactivated SARS-CoV-2 virus (USA-WA1/2020 Isolate). Source: https://www.fda.gov/media/144592/download.,,,,,,RADx-rad DCC|https://www.olink.com/faq/what-is-the-high-dose-hook-effect/
non_clinical_cutoff_min,Analytical Performance,float,"Test is considered positive if the assay readout is greater than or equal the non_clinical_cutoff_min value and negative if the assay readout is less than the non_clinical_cutoff_min value, e.g., cutoff value chosen from the ROC curve.",,,,,,,,RADx-rad DCC
non_clinical_cutoff_min_unit,Analytical Performance,text,Unit of non_clinical_cutoff_min,,,,,,,,RADx-rad DCC
non_clinical_sensitivity,Analytical Performance,float,The proportion of system-based positives; calculated as 100xTP/(TP+FN). Used for comparison with a VQA standard.,,,,,,,,RADx-rad DCC
non_clinical_sensitivity_ci_percent,Analytical Performance,float,Percent used to define two-sided confidence interval for non_clinical sensitivity.,,Example: 95,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
non_clinical_sensitivity_ci_min,Analytical Performance,float,Lower bound of confidence interval for non_clinical sensitivity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
non_clinical_sensitivity_ci_max,Analytical Performance,float,Upper bound of confidence interval for non_clinical sensitivity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
non_clinical_specificity,Analytical Performance,float,The proportion of system-based negatives; calculated as 100xTN/(TN+FP). Used for comparison with a VQA standard.,,,,,,,,RADx-rad DCC
non_clinical_specificity_ci_percent,Analytical Performance,float,Percent used to define two-sided confidence interval for non_clinical specificity.,,Example: 95,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
non_clinical_specificity_ci_min,Analytical Performance,float,Lower bound of confidence interval for non_clinical specificity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
non_clinical_specificity_ci_max,Analytical Performance,float,Upper bound of confidence interval for non_clinical specificity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
area_under_the_roc_curve,Analytical/Clinical Performance,float,ROC-based performance. AUC under ROC curve.,,,,,,,,RADx-rad DCC
roc_x_values,Analytical/Clinical Performance,list,List of false positive rate values (1-specificity),,,,,,,,RADx-rad DCC
roc_y_values,Analytical/Clinical Performance,list,List of true positive rate values (sensitivity),,,,,,,,RADx-rad DCC
analytical_sensitivity,Analytical Performance,float,The lowest concentration of an analyte that can be detected as positive outcome by the test system 95% of the time.,,Example: 19 out of 20 positive sample are detected as positive in an LOD panel.,,,,,,RADx-rad DCC
analytical_sensitivity_unit,Analytical Performance,text,The unit of analytical_sensitivity,,Example: 19 out of 20 positive sample are detected as positive in an LOD panel.,,,,,,RADx-rad DCC
slope_calibration_of_curve,Analytical Performance,float,The slope of the calibration curve.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583; https://www.youtube.com/watch?v=8Pe3k3fJNe8",,,,,,RADx-rad DCC
slope_calibration_of_curve_unit,Analytical Performance,text,Unit of slope_calibration_of_curve,,,,,,,,RADx-rad DCC
analytical_cutoff_description,Clinical Performance,text,Description of the analytical cutoff,,,,,,,,RADx-rad DCC
analytical_cutoff_min,Clinical Performance,float,Test is considered positive if assay readout is geater than or equal the analytical_cutoff_min value,,,,,,,,RADx-rad DCC
analytical_cutoff_min_unit,Clinical Performance,text,Unit of analytical_cutoff_min,,,,,,,,RADx-rad DCC
analytical_cutoff_max,Clinical Performance,float,Test is considered positive if assay readout is less than or equal the analytical_cutoff_max value,,,,,,,,RADx-rad DCC
analytical_cutoff_max_unit,Clinical Performance,text,Unit of analytical_cutoff_max,,,,,,,,RADx-rad DCC
analytical_inclusivity,Analytical Performance,text,Impact of variants/mutations on test results. Specificity with respect to variants/mutations compared to wildtype,,Analysis can be in silico and wet testing,,,,,,RADx-rad DCC
cross_reactivity_organism_name,Analytical Performance,text,Name of organism tested for cross-reactivity against target organism,,Example: Human coronavirus OC43,,,,,,RADx-rad DCC
cross_reactivity_organism_taxonomy_id,Analytical Performance,text,NCBI taxonomy id of organism tested for cross-reactivity against target organism,,Example: 31631,,,,,,RADx-rad DCC
cross_reactivity_organism_concentation,Analytical Performance,float,Concentration of cross-reacting organism.,,,,,,,,RADx-rad DCC
cross_reactivity_organism_concentation_unit,Analytical Performance,text,Concentation unit used for cross-reacting organism.,,Example: copies/ml,,,,,,RADx-rad DCC
cross_reactivity_result,Analytical Performance,category,Result of cross-reactivity test against target organism. A positive results indicates that cross-reacting organism gives a positive signal.,positive | negative | inconclusive,,,,,,,RADx-rad DCC
cross_reactivity_detail,Analytical Performance,text,Description of observed cross-reactivity.,,,,,,,,RADx-rad DCC
interfering_substance,Analytical Performance,text,Name of the interfering substance.,,Example: Menthol,,,,,,RADx-rad DCC
interfering_substance_provider,Analytical Performance,text,Name of the entity that provided the interfering substance.,,Example: Sigma Aldrich,,,,,,RADx-rad DCC
interfering_substance_concentration,Analytical Performance,list,Concentration of the interfering substance.,,Example: 1.5,,,,,,RADx-rad DCC
interfering_substance_concentation_unit,Analytical Performance,text,Concentration unit  used for interfering substance.,,"Examples: mg/ml, %v/v",,,,,,RADx-rad DCC
interfering_substance_detail,Analytical Performance,text,Description of observed interference.,,"Example:  There was no interference of SARS-CoV-2 detection
observed from any of the substances tested except for
bleach which was shown to interfere at the initial
concentration of 1% v/v tested. Further testing indicated that
the highest bleach level the test system could tolerate was
0.2% v/v. Source: https://www.fda.gov/media/144592/download.",,,,,,RADx-rad DCC
positive_percent_agreement,Analytical/Clinical Performance,float,Positive Percent Agreement (PPA). The proportion of non-reference standard positive subjects in whom the new test is positive.,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf|https://tools.westgard.com/two-by-two-contingency.shtml
negative_percent_agreement,Analytical/Clinical Performance,float,Negative Percent Agreement (NPA). The proportion of non-reference standard negative subjects in whom the new test is negative.,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
overall_percent_agreement,Analytical/Clinical Performance,float,"Percentage of total subjects where the
new test and the non-reference standard agree.",,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
target_condition,Clinical Performance,text,"A particular disease, a disease stage, health status, or any other identifiable condition within a patient, such as staging a disease already known to be present, or a health condition that should prompt clinical action, such as the initiation, modification, or termination of treatment.",,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
reference_standard,Clinical Performance,text,"The best available method for establishing the presence or absence of the target condition; the reference standard can be a single test or method, or a combination of methods and techniques, including clinical follow-up.",,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
study_population,Clinical Performance,text,The subjects/patients (and specimen types) included in the study,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
stratification,Clinical Performance,text,"Stratification of subjects, e.g., days since onset of symptoms, asymptomatic vs. symptomatic, co-infections, PCR Cycle Threshold, n x LOD concentration ranges for contrived samples",,,,,,,,RADx-rad DCC
cohort_id,Clinical Performance,text,Identifier for a grouping of patients,,,,,,,,RADx-rad DCC
cohort_size,Clinical Performance,integer,Number of subject in a cohort (see cohort_id) used to calculate metrics,,,,,,,,RADx-rad DCC
true_label,Analytical/Clinical Performance,category,The expected label based on a  gold standard,positive | negative | inconclusive,,,,,,,RADx-rad DCC
positive_samples,Analytical/Clinical Performance,integer,Total number of positive samples,,,,,,,,RADx-rad DCC
negative_samples,Analytical/Clinical Performance,integer,Total number of negative samples,,,,,,,,RADx-rad DCC
positive_samples_in_calculation,Analytical/Clinical Performance,integer,Total number of positive samples used for the calculation and modeling.,,,,,,,,RADx-rad DCC
negative_samples_in_calculation,Analytical/Clinical Performance,integer,Total number of negative samples used for the calculation and modeling.,,,,,,,,RADx-rad DCC
true_positives,Analytical/Clinical Performance,integer,True Positives (TP). The number of subjects/specimens with true positive test results,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
false_positives,Analytical/Clinical Performance,integer,False Positives (FP). The number of subjects/specimens with false positive test results,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
true_negatives,Analytical/Clinical Performance,integer,True Negatives (TN). The number of subjects/specimens with true negative test results.,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
false_negatives,Analytical/Clinical Performance,integer,False Negatives (FN). The number of subjects/specimens with false negative test results,,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
clinical_sensitivity,Clinical Performance,float,The proportion of subjects with the target condition in whom the test is positive; calculated as 100xTP/(TP+FN). Used for comparison with a reference (Gold) standard.,,PCR is Gold standard for COVID-19. For comparison with a non-reference standard use percent agreement metrics.,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_sensitivity_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for clinical sensitivity.,,Example: 95,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_sensitivity_ci_min,Clinical Performance,float,Lower bound of confidence interval for clinical sensitivity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_sensitivity_ci_max,Clinical Performance,float,Upper bound of confidence interval for clinical sensitivity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_specificity,Clinical Performance,float,The proportion of subjects without the target condition in whom the test is negative; calculated as 100xTN/(FP+TN).,,PCR is Gold standard for COVID-19. For comparison with a non-reference standard use percent agreement metrics.,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
clinical_specificity_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for clinical specificity.,,Example: 95,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_specificity_ci_min,Clinical Performance,float,Lower bound of confidence interval for clinical specificity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_specificity_ci_max,Clinical Performance,float,Upper bound of confidence interval for clinical specificity.,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
positive_predictive_value,Clinical Performance,float,The proportion of test positive patients who have the target condition; calculated as 100xTP/(TP+FP),,,,,,,,RADx-rad DCC|https://www.fda.gov/regulatory-information/search-fda-guidance-documents/statistical-guidance-reporting-results-studies-evaluating-diagnostic-tests-guidance-industry-and-fda#7|https://www.medcalc.org/calc/diagnostic_test.php
positive_predictive_value_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for positive predicted value.,,Example: 95,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
positive_predictive_value_ci_min,Clinical Performance,float,Lower bound of confidence interval for positive predicted value,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
positive_predictive_value_ci_max,Clinical Performance,float,Upper bound of confidence interval for positive predicted value,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
negative_predictive_value,Clinical Performance,float,The proportion of test negative patients who do not have the target condition; calculated as 100xTN/(TN+FN),,,,,,,,RADx-rad DCC|https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
negative_predictive_value_ci_percent,Clinical Performance,float,Percent used to define two-sided confidence interval for negative predicted value.,,Example: 95,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
negative_predictive_value_ci_min,Clinical Performance,float,Lower bound of confidence interval or negative predicted value,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
negative_predictive_value_ci_max,Clinical Performance,float,Upper bound of confidence interval or negative predicted value,,,,,,,,RADx-rad DCC|https://www.medcalc.org/calc/diagnostic_test.php
clinical_cutoff_description,Clinical Performance,text,Description of the clinical cutoff,,,,,,,,RADx-rad DCC
clinical_cutoff_min,Clinical Performance,float,Test is considered positive if assay readout is geater than or equal the clinical_cutoff_min value,,,,,,,,RADx-rad DCC
clinical_cutoff_min_unit,Clinical Performance,text,Unit of clinical_cutoff_min,,,,,,,,RADx-rad DCC
clinical_cutoff_max,Clinical Performance,float,Test is considered positive if assay readout is less than or equal the clinical_cutoff_max value,,,,,,,,RADx-rad DCC
clinical_cutoff_max_unit,Clinical Performance,text,Unit of clinical_cutoff_max,,,,,,,,RADx-rad DCC
invalid_test_rate,Analytical/Clinical Performance,float,The fraction of tests that gave an invalid or undetermined results and where excluded from the calculation of metrics,,example: 0.05,,,,,,RADx-rad DCC
invalid_test_detail,Analytical/Clinical Performance,text,Description why test results where excluded from the calculation of metrics,,,,,,,,RADx-rad DCC
turnaround_time,Analytical/Clinical Performance,integer,Turnaround time for test in minutes,,,,,,,min,RADx-rad DCC
turnaround_time_unit,Analytical/Clinical Performance,text,Unit for turnaround_time,,,,,,,,RADx-rad DCC
price_per_test,Clinical Performance,float,Price per test in USD,,,,,,,USD,RADx-rad DCC
validation_test,Analytical/Clinical Performance,text,Type of cross validation used for the statistical method used,,,,,,,,RADx-rad DCC
validation_test_permutations,Analytical/Clinical Performance,integer,Number of permutations performed for the cross validation of the statistical method used.,,,,,,,,RADx-rad DCC
