Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
state_names,Collection Site,list,"A pipe ""|"" separated list of US state names.",,Use the list of US state names from the US Census: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx,,,,,,RADx-rad DCC
county_names,Collection Site,list,"A pipe ""|"" separated list of names of all counties served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location)",,Use the county names from the US Census: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
county_fips,Collection Site,list,"A pipe ""|"" separated list of the FIPS codes for US counties. This is a 5-digit number consisting of the 2-digit state code followed by the 3-digit county code.",,"Concatenate the 2-digit state code and the 3-digit county code from the US Census. Example California (06) + San Diego County (073) -> 06073 
https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx ",,,,,,RADx-rad DCC
zipcode,Collection Site,text,ZIP code in which this sampling site is located ,,,Zipcode,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
sample_location,Collection Site,category,"Sample collection location in the wastewater system, whether at a wastewater treatment plant (or other community level treatment infrastructure such as community-scale septic) or upstream in the wastewater system","wwtp, A sampling location at a wastewater treatment plant or other community-scale treatment infrastructure specified in 'wwtp_name' | upstream, A sampling location other than ""wwtp""","If 'sample_location' is ""upstream"", specify in 'sample_location_specify'",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
sample_location_specify,Collection Site,text,"If 'sample_location' is ""upstream"", specify the collection location in the wastewater system; an arbitrary name may be used if you do not wish to disclose the real name.",,"[string, length less than or equal to 40 characters];
[empty], If sample_location is ""upstream"", then this must have a non-empty value",,,,[sample_location] = 'upstream',,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
institution_type,Collection Site,category,"If this sample represents wastewater from a single institution, facility, or building, specify the institution type; otherwise, specify ""not institution specific""",not institution specific | correctional | long term care - nursing home | long term care - assisted living | other long term care  | short stay acute care hospital | long term acute care hospital | child day care | k12 | higher ed dorm | higher ed other | social services shelter | other residential building | ship | airplane,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
epaid,WWTP,text,NPDES permit number for the wastewater treatment plant specified in 'wwtp_name',,NPDES permit number (<2-letter abbreviation><#######>),,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
wwtp_name,WWTP,text,"The name of the Wastewater Treatment Plant (WWTP) to which this wastewater flows. If this wastewater does not flow to a WWTP,  specify an identifiable name for the septic or other treatment system to which this wastewater flows. An arbitrary name may be used if you do not wish to disclose the real name.",,"[string, length less than or equal to 40 characters]",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
wwtp_jurisdiction,WWTP,radio,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located","AL, Alabama | AK, Alaska | AS, American Samoa | AZ, Arizona | AR, Arkansas | CA, California | CI, Chicago, IL | CO, Colorado | MP, Commonwealth of Northern Mariana Islands | CT, Connecticut | DE, Delaware | DC, District of Columbia | FM, Federated States of Micronesia | FL, Florida | GA, Georgia | GU, Guam | HI, Hawaii | HO, Houston, TX | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LC, Los Angeles County, CA | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NZ, New York City, NY | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | PH, Philadelphia, PA | PR, Puerto Rico | MH, Republic of the Marshall Islands | PW, Republic of Palau | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | VI, U.S. Virgin Islands | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming",,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319|https://www.cdc.gov/nwss/reporting.html
